customer_id,gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure_arrival_time_convenience,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
105420,F,disloyal,23,business,eco,452,5.0,,5.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,5,3.0,5.0,1.0,54,44,satisfied
14849,M,loyal,41,business,business,296,,,,3.0,2.0,5.0,3.0,4.0,4.0,4.0,4,4.0,4.0,3.0,0,0,satisfied
78972,F,loyal,57,business,business,2496,,,,1.0,3.0,4.0,5.0,5.0,5.0,5.0,5,4.0,5.0,5.0,0,5,satisfied
32564,F,disloyal,50,business,eco,216,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,1,4.0,4.0,4.0,0,0,neutral or dissatisfied
65655,F,disloyal,21,business,business,861,4.0,,4.0,4.0,1.0,4.0,1.0,1.0,3.0,4.0,4,4.0,5.0,1.0,0,0,satisfied
76392,M,loyal,60,personal,eco,931,,5.0,,3.0,4.0,,3.0,4.0,4.0,5.0,5,4.0,5.0,4.0,0,0,satisfied
65420,M,disloyal,22,business,business,231,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4,3.0,1.0,5.0,0,0,satisfied
16653,F,disloyal,26,business,eco,488,2.0,,2.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,5,1.0,3.0,1.0,0,0,neutral or dissatisfied
20101,M,disloyal,26,business,eco,416,3.0,,3.0,3.0,1.0,3.0,1.0,1.0,3.0,5.0,2,3.0,3.0,1.0,0,9,neutral or dissatisfied
18311,F,loyal,22,personal,eco,549,4.0,,4.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,5,4.0,5.0,3.0,15,3,neutral or dissatisfied
51013,F,loyal,44,personal,eco,326,2.0,,2.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,1,2.0,1.0,5.0,0,0,neutral or dissatisfied
73604,F,loyal,55,business,business,3634,,4.0,,4.0,4.0,5.0,5.0,4.0,4.0,1.0,1,4.0,4.0,3.0,0,0,satisfied
104623,M,disloyal,20,business,eco,861,,,,5.0,2.0,,2.0,2.0,4.0,3.0,5,3.0,5.0,2.0,0,0,satisfied
85554,F,loyal,49,business,business,317,,1.0,1.0,1.0,3.0,4.0,5.0,4.0,4.0,4.0,4,4.0,4.0,5.0,0,0,satisfied
108006,F,loyal,38,personal,eco,271,4.0,,5.0,3.0,2.0,5.0,2.0,2.0,4.0,2.0,4,3.0,5.0,2.0,0,0,satisfied
19578,M,loyal,45,personal,eco,173,2.0,5.0,,1.0,2.0,,5.0,2.0,5.0,5.0,4,4.0,4.0,2.0,0,0,neutral or dissatisfied
88574,F,loyal,20,personal,eco,545,2.0,,2.0,3.0,5.0,2.0,1.0,5.0,3.0,4.0,3,3.0,1.0,5.0,4,0,neutral or dissatisfied
15174,M,disloyal,23,business,eco,416,5.0,,5.0,2.0,4.0,5.0,4.0,4.0,3.0,5.0,5,3.0,2.0,4.0,18,4,satisfied
120162,F,loyal,46,personal,business,119,4.0,,4.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,4,3.0,4.0,3.0,13,32,neutral or dissatisfied
43810,F,disloyal,26,business,business,114,4.0,,5.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,5,4.0,4.0,4.0,0,13,satisfied
84299,M,loyal,43,business,business,2828,,1.0,1.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,3,5.0,3.0,5.0,39,41,satisfied
128097,F,loyal,25,personal,eco,2845,3.0,,3.0,5.0,3.0,3.0,3.0,1.0,1.0,3.0,2,3.0,3.0,3.0,0,1,neutral or dissatisfied
94421,F,loyal,30,business,business,2438,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,5,3.0,4.0,2.0,38,28,satisfied
51774,M,loyal,64,personal,eco,261,1.0,4.0,,3.0,1.0,,1.0,1.0,3.0,1.0,3,3.0,4.0,1.0,0,0,neutral or dissatisfied
124301,M,disloyal,21,business,business,255,5.0,,5.0,1.0,2.0,5.0,2.0,2.0,5.0,4.0,5,3.0,4.0,2.0,0,0,satisfied
51960,M,disloyal,24,business,eco,347,3.0,,3.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,4,5.0,3.0,5.0,0,0,neutral or dissatisfied
83683,F,disloyal,23,business,eco,577,,,1.0,1.0,5.0,1.0,5.0,5.0,4.0,2.0,4,2.0,1.0,5.0,0,0,satisfied
44039,F,loyal,24,business,eco,287,1.0,1.0,,3.0,5.0,,5.0,5.0,2.0,2.0,2,2.0,2.0,5.0,0,8,neutral or dissatisfied
85600,F,disloyal,25,business,eco,317,,4.0,,4.0,5.0,,5.0,5.0,5.0,1.0,2,4.0,3.0,5.0,9,5,satisfied
68900,M,loyal,62,personal,eco,1061,,5.0,,3.0,5.0,,5.0,5.0,4.0,4.0,5,5.0,5.0,5.0,0,0,satisfied
