customer_id,gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure_arrival_time_convenience,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
95789,F,loyal,26,personal,eco,453,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,2,2.0,1.0,2.0,43,35,neutral or dissatisfied
71142,F,loyal,26,business,business,2123,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,4,5.0,4.0,4.0,49,51,satisfied
105420,F,disloyal,23,business,eco,452,5.0,,5.0,1.0,1.0,5.0,1.0,1.0,4.0,5.0,5,3.0,5.0,1.0,54,44,satisfied
70594,F,loyal,35,business,business,2611,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,5,4.0,3.0,4.0,109,120,satisfied
96517,F,loyal,47,personal,eco,302,4.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4,4.0,4.0,4.0,23,31,satisfied
7467,F,loyal,45,business,business,3334,2.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4,3.0,4.0,5.0,51,48,satisfied
75930,M,loyal,30,business,eco plus,205,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,1,1.0,2.0,3.0,64,49,neutral or dissatisfied
24518,M,loyal,66,personal,eco plus,516,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,5,5.0,5.0,2.0,0,37,neutral or dissatisfied
73302,M,loyal,26,business,business,3960,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,5,4.0,4.0,4.0,45,48,satisfied
88062,M,loyal,47,business,business,406,2.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,4,5.0,4.0,4.0,44,50,satisfied
6012,M,loyal,30,business,business,1896,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,3,4.0,2.0,4.0,81,72,neutral or dissatisfied
15138,F,loyal,32,business,eco,1042,4.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,1,5.0,2.0,4.0,35,34,satisfied
93076,F,loyal,15,personal,eco plus,297,1.0,5.0,1.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,1,3.0,4.0,5.0,67,62,neutral or dissatisfied
85494,F,loyal,16,personal,eco,332,2.0,5.0,2.0,1.0,3.0,2.0,4.0,3.0,5.0,4.0,5,4.0,4.0,3.0,40,52,neutral or dissatisfied
23400,M,loyal,20,personal,eco,483,2.0,3.0,2.0,3.0,5.0,2.0,5.0,5.0,5.0,2.0,3,2.0,4.0,5.0,91,82,neutral or dissatisfied
112483,M,loyal,13,personal,eco,853,1.0,4.0,1.0,4.0,4.0,1.0,4.0,4.0,5.0,2.0,5,4.0,4.0,4.0,105,122,neutral or dissatisfied
13884,M,loyal,49,business,eco,578,5.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,4,5.0,4.0,5.0,162,179,satisfied
69692,M,loyal,42,business,business,1372,3.0,3.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4,4.0,3.0,4.0,141,125,satisfied
80520,M,loyal,23,personal,eco,1749,2.0,1.0,1.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,4,2.0,3.0,3.0,97,89,neutral or dissatisfied
13560,M,loyal,41,personal,eco,214,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,3.0,5,4.0,5.0,2.0,16,34,neutral or dissatisfied
19790,F,loyal,65,personal,eco,578,2.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,3,4.0,3.0,3.0,99,101,neutral or dissatisfied
146,M,loyal,60,business,business,2371,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4,3.0,4.0,3.0,66,61,satisfied
18770,F,loyal,31,business,business,551,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3,4.0,4.0,3.0,53,48,neutral or dissatisfied
120162,F,loyal,46,personal,business,119,4.0,,4.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,4,3.0,4.0,3.0,13,32,neutral or dissatisfied
44586,M,loyal,67,personal,eco,157,4.0,1.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3,4.0,3.0,5.0,45,33,neutral or dissatisfied
84299,M,loyal,43,business,business,2828,,1.0,1.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,3,5.0,3.0,5.0,39,41,satisfied
103291,M,loyal,40,business,business,1959,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5,4.0,5.0,4.0,209,191,satisfied
127925,M,loyal,38,business,business,2300,4.0,2.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4,3.0,4.0,2.0,60,37,neutral or dissatisfied
26149,M,disloyal,26,business,eco,406,3.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,1,3.0,4.0,3.0,149,138,neutral or dissatisfied
120078,F,loyal,22,business,business,1722,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,3,3.0,3.0,2.0,0,53,neutral or dissatisfied
80188,F,loyal,46,personal,eco,2586,3.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3,4.0,1.0,4.0,59,57,neutral or dissatisfied
126917,F,loyal,36,business,business,3130,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,3.0,62,65,satisfied
16342,M,loyal,23,business,eco plus,602,2.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,3.0,4.0,4,4.0,4.0,2.0,21,44,neutral or dissatisfied
74740,F,loyal,56,personal,eco,1431,3.0,5.0,3.0,3.0,4.0,5.0,5.0,1.0,1.0,3.0,1,2.0,1.0,5.0,91,76,neutral or dissatisfied
117904,F,disloyal,62,business,eco,255,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,3,1.0,3.0,2.0,113,107,neutral or dissatisfied
47795,M,loyal,42,business,business,3665,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4,4.0,4.0,3.0,83,92,satisfied
125451,F,loyal,52,business,business,2917,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4,5.0,3.0,5.0,15,32,satisfied
79924,M,loyal,25,business,business,1796,4.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,5.0,3.0,3,4.0,2.0,4.0,176,164,neutral or dissatisfied
53922,F,disloyal,17,business,eco plus,191,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4.0,4.0,1.0,4,2.0,3.0,4.0,39,34,neutral or dissatisfied
46695,F,loyal,44,personal,eco,73,2.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,2.0,1,2.0,1.0,1.0,0,32,neutral or dissatisfied
118135,F,loyal,51,business,business,1488,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,2,4.0,2.0,2.0,73,62,neutral or dissatisfied
4988,M,disloyal,26,business,business,502,2.0,2.0,2.0,5.0,5.0,2.0,2.0,5.0,4.0,3.0,4,4.0,4.0,5.0,53,52,neutral or dissatisfied
114663,F,loyal,35,business,business,337,5.0,5.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,4,3.0,4.0,5.0,54,40,satisfied
2902,M,loyal,60,personal,eco,491,1.0,3.0,1.0,3.0,5.0,1.0,5.0,5.0,3.0,2.0,2,5.0,1.0,5.0,22,49,neutral or dissatisfied
37834,M,loyal,29,business,business,2542,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1,3.0,2.0,5.0,18,55,satisfied
73190,M,disloyal,25,business,eco,1258,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,3,2.0,1.0,2.0,199,185,neutral or dissatisfied
70160,M,loyal,25,personal,eco,550,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,4,4.0,5.0,1.0,56,63,neutral or dissatisfied
18983,M,loyal,52,business,business,3245,4.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,5,4.0,5.0,3.0,93,77,satisfied
65527,F,loyal,30,personal,eco,1616,2.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,4,4.0,5.0,1.0,70,89,neutral or dissatisfied
