customer_id,gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure_arrival_time_convenience,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
91467,F,disloyal,26,business,eco,459,4.0,4.0,5.0,4.0,5.0,2.0,4.0,2.0,3.0,2.0,4,4.0,4.0,4.0,412,459,satisfied
74564,M,loyal,27,business,eco,1235,4.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,4,4.0,2.0,4.0,391,354,neutral or dissatisfied
91443,M,loyal,32,business,business,859,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,5,4.0,3.0,4.0,435,470,satisfied
83874,M,loyal,46,business,business,1670,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,3.0,3.0,5,5.0,5.0,5.0,480,471,satisfied
39675,F,loyal,41,business,business,3517,1.0,1.0,5.0,1.0,4.0,4.0,4.0,5.0,3.0,2.0,4,4.0,5.0,4.0,438,438,satisfied
10100,M,loyal,32,personal,eco,961,1.0,5.0,2.0,3.0,2.0,5.0,5.0,3.0,5.0,5.0,5,5.0,3.0,5.0,472,446,neutral or dissatisfied
75977,M,disloyal,36,business,eco,297,1.0,4.0,1.0,3.0,1.0,4.0,4.0,3.0,2.0,4.0,3,4.0,4.0,4.0,447,433,neutral or dissatisfied
69661,M,loyal,32,business,business,2916,2.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,4,5.0,3.0,5.0,1305,1280,satisfied
73083,F,disloyal,39,business,eco,685,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,1.0,5,4.0,1.0,4.0,652,638,neutral or dissatisfied
64165,M,loyal,33,personal,eco,989,1.0,5.0,,3.0,,1.0,1.0,4.0,2.0,5.0,5,1.0,4.0,1.0,726,691,neutral or dissatisfied
37573,F,disloyal,20,business,eco,641,5.0,,5.0,5.0,5.0,1.0,5.0,4.0,5.0,3.0,1,5.0,5.0,5.0,505,486,satisfied
100409,M,loyal,58,business,business,3266,2.0,2.0,4.0,2.0,4.0,5.0,5.0,5.0,3.0,5.0,5,5.0,5.0,5.0,394,383,satisfied
35105,M,disloyal,38,business,eco,944,3.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,4,1.0,1.0,1.0,566,600,neutral or dissatisfied
3346,M,loyal,21,business,eco,240,4.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3,4.0,1.0,4.0,537,524,neutral or dissatisfied
24021,M,loyal,44,business,business,562,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,2.0,3,2.0,1.0,2.0,383,386,neutral or dissatisfied
14946,M,loyal,40,business,business,2907,4.0,4.0,5.0,4.0,4.0,3.0,3.0,5.0,2.0,3.0,3,3.0,1.0,3.0,392,381,satisfied
82145,M,disloyal,21,business,eco,237,1.0,5.0,1.0,4.0,1.0,5.0,4.0,3.0,3.0,5.0,5,4.0,4.0,4.0,419,460,neutral or dissatisfied
47207,F,loyal,39,personal,eco,954,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4,3.0,3.0,3.0,423,418,neutral or dissatisfied
92522,M,loyal,13,personal,eco,2092,2.0,,2.0,5.0,2.0,2.0,2.0,5.0,3.0,4.0,4,2.0,5.0,2.0,454,454,neutral or dissatisfied
50110,M,disloyal,25,business,eco,86,1.0,1.0,1.0,4.0,1.0,5.0,5.0,3.0,2.0,3.0,3,5.0,4.0,5.0,459,445,neutral or dissatisfied
106834,M,loyal,60,business,business,1733,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4,4.0,5.0,4.0,381,436,satisfied
69504,M,loyal,27,business,business,1746,1.0,1.0,4.0,1.0,4.0,5.0,5.0,4.0,3.0,5.0,4,5.0,4.0,5.0,859,860,satisfied
5173,F,loyal,42,personal,business,351,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2,3.0,3.0,3.0,692,702,neutral or dissatisfied
35117,M,loyal,33,business,business,1971,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,2.0,2,5.0,3.0,5.0,465,493,satisfied
42704,F,loyal,26,personal,eco,604,2.0,5.0,2.0,5.0,2.0,2.0,5.0,3.0,5.0,4.0,5,5.0,4.0,5.0,426,427,neutral or dissatisfied
14340,M,loyal,14,personal,eco,395,1.0,5.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,4,2.0,4.0,2.0,519,516,neutral or dissatisfied
18703,M,loyal,47,business,eco plus,190,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,2,2.0,5.0,2.0,414,410,satisfied
92493,M,loyal,45,business,eco,447,5.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,4.0,3,3.0,3.0,3.0,559,555,satisfied
16964,F,disloyal,25,business,eco,195,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,4,4.0,3.0,4.0,382,392,neutral or dissatisfied
93393,F,loyal,58,business,business,723,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,4,4.0,5.0,4.0,401,404,satisfied
