customer_id,gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure_arrival_time_convenience,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,time_recovered_in_minutes,time_recovery_status,satisfaction
55447,F,loyal,34,personal,eco,2521,4.0,5.0,4.0,1.0,5.0,4.0,1.0,5.0,2.0,1.0,3,1.0,2.0,5.0,100,0,100,recovered,neutral or dissatisfied
99849,F,loyal,26,personal,eco,587,3.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,5,5.0,5.0,2.0,66,0,66,recovered,neutral or dissatisfied
99162,M,loyal,50,business,business,986,3.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4,4.0,5.0,4.0,186,0,186,recovered,satisfied
16371,F,disloyal,29,business,eco,1215,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,4.0,5,5.0,5.0,2.0,62,0,62,recovered,neutral or dissatisfied
71867,F,loyal,62,personal,eco,1726,5.0,2.0,5.0,3.0,5.0,2.0,4.0,1.0,3.0,3.0,3,4.0,1.0,4.0,153,0,153,recovered,satisfied
40434,M,loyal,44,business,business,3383,2.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5,5.0,5.0,4.0,70,0,70,recovered,satisfied
102803,M,loyal,41,business,business,2472,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4,4.0,4.0,3.0,86,0,86,recovered,satisfied
100785,F,loyal,30,personal,eco,1411,2.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,2.0,4.0,5,3.0,2.0,3.0,183,0,183,recovered,neutral or dissatisfied
46989,M,loyal,58,personal,eco,833,2.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,4,3.0,4.0,2.0,119,0,119,recovered,neutral or dissatisfied
71265,F,loyal,27,personal,eco,733,1.0,5.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,3,1.0,2.0,1.0,217,0,217,recovered,neutral or dissatisfied
107744,M,loyal,55,personal,eco,466,1.0,4.0,1.0,2.0,1.0,4.0,4.0,3.0,3.0,4.0,4,4.0,3.0,4.0,136,0,136,recovered,neutral or dissatisfied
93794,M,loyal,47,business,business,3722,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5,3.0,5.0,4.0,123,0,123,recovered,satisfied
120093,F,loyal,56,business,business,1576,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5,5.0,5.0,3.0,115,0,115,recovered,satisfied
58494,M,disloyal,27,business,eco,719,2.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,1.0,3.0,3,2.0,3.0,4.0,100,0,100,recovered,neutral or dissatisfied
112304,M,loyal,29,personal,eco plus,1671,3.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,4,2.0,4.0,1.0,99,0,99,recovered,neutral or dissatisfied
103322,F,disloyal,39,business,eco,739,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2,3.0,1.0,3.0,151,0,151,recovered,neutral or dissatisfied
109437,F,disloyal,42,business,business,861,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5.0,3.0,5.0,158,0,158,recovered,satisfied
29880,M,loyal,46,business,business,571,1.0,1.0,1.0,1.0,5.0,4.0,4.0,2.0,2.0,2.0,1,4.0,4.0,4.0,142,0,142,recovered,satisfied
48724,M,loyal,32,business,business,1667,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5,5.0,5.0,4.0,77,0,77,recovered,satisfied
96526,M,loyal,63,personal,eco,436,3.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,5.0,2.0,5,3.0,4.0,1.0,64,0,64,recovered,neutral or dissatisfied
80208,M,loyal,34,personal,eco plus,2586,3.0,3.0,3.0,4.0,3.0,1.0,1.0,4.0,5.0,4.0,2,1.0,3.0,1.0,202,0,202,recovered,neutral or dissatisfied
45676,F,loyal,45,business,eco,826,5.0,1.0,1.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,5,1.0,5.0,5.0,100,0,100,recovered,satisfied
70078,M,loyal,25,business,business,2685,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4,5.0,5.0,5.0,175,0,175,recovered,satisfied
104169,M,loyal,27,business,business,3424,1.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,5.0,4,3.0,4.0,3.0,181,0,181,recovered,satisfied
43746,M,loyal,53,personal,business,481,1.0,5.0,1.0,3.0,2.0,2.0,3.0,5.0,5.0,1.0,5,3.0,5.0,5.0,113,0,113,recovered,neutral or dissatisfied
35673,F,loyal,11,business,eco,2576,,5.0,,5.0,,5.0,5.0,1.0,2.0,5.0,5,5.0,2.0,5.0,160,0,160,recovered,satisfied
21763,M,loyal,48,personal,business,341,2.0,4.0,2.0,5.0,2.0,4.0,4.0,5.0,3.0,4.0,5,4.0,4.0,4.0,174,0,174,recovered,neutral or dissatisfied
29804,F,loyal,35,business,business,3981,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,4.0,2,4.0,1.0,4.0,155,0,155,recovered,satisfied
27853,F,loyal,35,personal,eco,909,1.0,4.0,1.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,3,3.0,1.0,3.0,70,0,70,recovered,neutral or dissatisfied
63345,F,loyal,47,business,eco,372,4.0,5.0,5.0,5.0,2.0,2.0,1.0,4.0,4.0,4.0,4,3.0,4.0,2.0,66,0,66,recovered,neutral or dissatisfied
9288,M,loyal,20,personal,eco,1190,2.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,3.0,4,1.0,3.0,1.0,198,0,198,recovered,neutral or dissatisfied
104787,F,loyal,31,business,business,587,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5,3.0,5.0,3.0,102,0,102,recovered,satisfied
18169,F,loyal,45,business,business,2236,2.0,1.0,1.0,1.0,5.0,2.0,3.0,2.0,2.0,2.0,2,2.0,2.0,2.0,84,0,84,recovered,neutral or dissatisfied
107244,M,loyal,59,business,business,1758,4.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,4.0,4.0,4,4.0,4.0,4.0,91,0,91,recovered,neutral or dissatisfied
107854,M,disloyal,27,business,business,228,3.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,5.0,4,4.0,5.0,4.0,85,0,85,recovered,neutral or dissatisfied
121145,F,disloyal,48,business,business,2521,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,3,5.0,4.0,4.0,72,0,72,recovered,neutral or dissatisfied
110773,M,disloyal,26,business,business,1166,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,5.0,5,4.0,4.0,4.0,154,0,154,recovered,neutral or dissatisfied
37249,M,loyal,11,personal,business,950,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,1.0,4,1.0,2.0,4.0,95,0,95,recovered,neutral or dissatisfied
29981,F,loyal,55,business,eco,234,3.0,4.0,4.0,4.0,5.0,2.0,1.0,3.0,3.0,3.0,3,1.0,3.0,5.0,61,0,61,recovered,satisfied
89190,M,loyal,51,personal,eco,1892,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,3,2.0,4.0,3.0,80,0,80,recovered,neutral or dissatisfied
121201,F,loyal,63,business,eco plus,2521,3.0,4.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3,4.0,3.0,4.0,107,0,107,recovered,neutral or dissatisfied
104135,M,loyal,37,business,eco,448,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,3,4.0,4.0,4.0,151,0,151,recovered,satisfied
20497,M,disloyal,26,business,eco,130,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,5.0,4,1.0,2.0,2.0,121,0,121,recovered,neutral or dissatisfied
4900,M,loyal,52,business,business,1020,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,3,5.0,3.0,3.0,118,0,118,recovered,satisfied
81145,F,disloyal,24,business,business,1310,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5,5.0,4.0,4.0,125,0,125,recovered,satisfied
81261,F,loyal,39,business,business,1578,1.0,1.0,1.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,4,5.0,4.0,3.0,86,0,86,recovered,satisfied
108151,F,loyal,38,personal,eco,1105,2.0,,2.0,3.0,2.0,1.0,2.0,4.0,4.0,4.0,4,2.0,3.0,2.0,140,0,140,recovered,neutral or dissatisfied
26055,M,loyal,11,personal,eco,432,2.0,4.0,2.0,5.0,1.0,2.0,1.0,1.0,4.0,2.0,5,3.0,4.0,1.0,98,0,98,recovered,neutral or dissatisfied
7048,M,loyal,24,personal,eco plus,234,3.0,5.0,,4.0,1.0,,1.0,1.0,4.0,4.0,4,5.0,5.0,1.0,96,0,96,recovered,neutral or dissatisfied
101828,F,loyal,45,personal,eco,1521,1.0,4.0,1.0,2.0,5.0,4.0,5.0,2.0,2.0,1.0,2,4.0,2.0,3.0,69,0,69,recovered,neutral or dissatisfied
17633,M,loyal,21,personal,eco,980,3.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,3,2.0,2.0,2.0,190,0,190,recovered,neutral or dissatisfied
9177,F,loyal,52,personal,eco,416,2.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,3,1.0,5.0,1.0,266,0,266,recovered,neutral or dissatisfied
110823,M,loyal,13,personal,eco,997,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2,2.0,2.0,1.0,96,0,96,recovered,neutral or dissatisfied
17767,F,loyal,40,business,eco,1214,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4,3.0,1.0,4.0,110,0,110,recovered,satisfied
