customer_id,customer_value,gender,customer_type,age,type_of_travel,class,flight_distance,departure_delay_in_minutes,arrival_delay_in_minutes,time_recovered_in_minutes,time_recovery_status,satisfaction,satisfaction_bool,seat_comfort,leg_room_service,food_and_drink,inflight_entertainment,inflight_wifi_service,cleanliness,products_rating_score,products_rating_percentage,on_board_service,inflight_service,checkin_service,online_boarding,ease_of_online_booking,baggage_handling,gate_location,departure_arrival_time_convenience,services_rating_score,services_rating_percentage
70172,mid,M,loyal,13,personal,eco plus,460,25,18,7,recovered,neutral or dissatisfied,False,5.0,3.0,5.0,5.0,3.0,5.0,26.0,86.67,4.0,5.0,4.0,3.0,3.0,4,1.0,4.0,28.0,70.0
51412,mid,F,loyal,12,personal,eco plus,308,0,0,0,same,neutral or dissatisfied,False,1.0,2.0,1.0,1.0,2.0,1.0,8.0,26.67,1.0,5.0,5.0,2.0,2.0,5,2.0,4.0,26.0,65.0
22434,low,F,loyal,17,personal,eco,208,0,0,0,same,neutral or dissatisfied,False,5.0,5.0,5.0,5.0,3.0,5.0,28.0,93.33,2.0,4.0,3.0,3.0,3.0,3,3.0,1.0,22.0,55.0
75460,low,M,loyal,22,personal,eco,2342,19,0,19,recovered,neutral or dissatisfied,False,1.0,4.0,3.0,3.0,3.0,3.0,17.0,56.67,2.0,2.0,4.0,3.0,3.0,3,3.0,2.0,22.0,55.0
82042,low,M,loyal,21,personal,eco,1454,0,0,0,same,neutral or dissatisfied,False,5.0,3.0,5.0,5.0,2.0,5.0,25.0,83.33,2.0,3.0,1.0,2.0,2.0,3,3.0,2.0,18.0,45.0
65045,low,F,loyal,15,personal,eco,551,3,0,3,recovered,neutral or dissatisfied,False,4.0,1.0,4.0,4.0,3.0,4.0,20.0,66.67,1.0,1.0,2.0,3.0,3.0,4,3.0,4.0,21.0,52.5
57513,low,M,loyal,15,personal,eco,235,1,10,-9,worsened,neutral or dissatisfied,False,1.0,3.0,1.0,1.0,2.0,1.0,9.0,30.0,3.0,4.0,4.0,2.0,2.0,4,1.0,4.0,24.0,60.0
8256,low,M,loyal,11,personal,eco,335,0,0,0,same,neutral or dissatisfied,False,3.0,2.0,3.0,3.0,1.0,3.0,15.0,50.0,4.0,5.0,5.0,1.0,1.0,4,3.0,5.0,28.0,70.0
18012,low,M,loyal,22,personal,eco,618,0,0,0,same,neutral or dissatisfied,False,3.0,5.0,3.0,3.0,3.0,3.0,20.0,66.67,4.0,5.0,5.0,3.0,3.0,4,2.0,5.0,31.0,77.5
18311,low,F,loyal,22,personal,eco,549,15,3,12,recovered,neutral or dissatisfied,False,1.0,2.0,3.0,3.0,4.0,3.0,16.0,53.33,3.0,5.0,4.0,4.0,4.0,5,3.0,,28.0,70.0
