customer_id,customer_value,gender,customer_type,age,type_of_travel,class,flight_distance,departure_delay_in_minutes,arrival_delay_in_minutes,time_recovered_in_minutes,time_recovery_status,satisfaction,satisfaction_bool,seat_comfort,leg_room_service,food_and_drink,inflight_entertainment,inflight_wifi_service,cleanliness,products_rating_score,products_rating_percentage,on_board_service,inflight_service,checkin_service,online_boarding,ease_of_online_booking,baggage_handling,gate_location,departure_arrival_time_convenience,services_rating_score,services_rating_percentage
23040,mid,F,disloyal,27,business,eco plus,1080,0,0,0,same,neutral or dissatisfied,False,3.0,1.0,3.0,3.0,3.0,3.0,16.0,53.33,4.0,3.0,3.0,3.0,3.0,3,3.0,3.0,25.0,62.5
21262,mid,F,disloyal,21,business,eco plus,903,35,28,7,recovered,neutral or dissatisfied,False,1.0,5.0,1.0,1.0,4.0,1.0,13.0,43.33,4.0,4.0,1.0,4.0,4.0,3,4.0,3.0,27.0,67.5
119989,mid,F,disloyal,29,business,eco plus,868,0,0,0,same,neutral or dissatisfied,False,3.0,4.0,3.0,3.0,2.0,3.0,18.0,60.0,3.0,3.0,2.0,2.0,2.0,3,4.0,2.0,21.0,52.5
48272,mid,F,disloyal,24,business,eco plus,391,0,0,0,same,neutral or dissatisfied,False,3.0,2.0,3.0,3.0,3.0,3.0,17.0,56.67,5.0,5.0,2.0,3.0,3.0,5,2.0,5.0,30.0,75.0
11534,mid,F,disloyal,62,business,eco plus,316,0,0,0,same,neutral or dissatisfied,False,4.0,1.0,4.0,4.0,4.0,4.0,21.0,70.0,2.0,3.0,2.0,4.0,4.0,4,4.0,4.0,27.0,67.5
114100,mid,M,disloyal,35,business,eco plus,1947,8,13,-5,worsened,neutral or dissatisfied,False,2.0,5.0,5.0,5.0,2.0,5.0,24.0,80.0,4.0,3.0,3.0,2.0,2.0,4,3.0,2.0,23.0,57.5
113790,mid,F,disloyal,17,business,eco plus,258,0,0,0,same,neutral or dissatisfied,False,4.0,2.0,4.0,4.0,1.0,4.0,19.0,63.33,2.0,4.0,4.0,1.0,1.0,4,4.0,,20.0,50.0
2808,mid,F,disloyal,23,business,eco plus,764,0,0,0,same,neutral or dissatisfied,False,2.0,3.0,2.0,2.0,2.0,2.0,13.0,43.33,4.0,1.0,1.0,2.0,2.0,5,4.0,,19.0,47.5
117305,mid,F,disloyal,33,business,eco plus,338,17,8,9,recovered,neutral or dissatisfied,False,1.0,3.0,1.0,1.0,1.0,1.0,8.0,26.67,3.0,2.0,3.0,1.0,1.0,2,3.0,1.0,16.0,40.0
119614,mid,F,disloyal,26,business,eco plus,1979,20,0,20,recovered,neutral or dissatisfied,False,4.0,5.0,4.0,4.0,1.0,4.0,22.0,73.33,2.0,4.0,4.0,1.0,1.0,2,4.0,1.0,19.0,47.5
13766,mid,F,disloyal,36,business,eco plus,401,0,0,0,same,neutral or dissatisfied,False,1.0,1.0,1.0,1.0,2.0,1.0,7.0,23.33,5.0,4.0,2.0,1.0,1.0,5,3.0,1.0,22.0,55.0
117329,mid,F,disloyal,9,business,eco plus,646,4,0,4,recovered,neutral or dissatisfied,False,5.0,2.0,2.0,2.0,2.0,2.0,15.0,50.0,3.0,2.0,1.0,2.0,2.0,3,2.0,2.0,17.0,42.5
33234,mid,F,disloyal,27,business,eco plus,101,0,0,0,same,neutral or dissatisfied,False,1.0,1.0,1.0,1.0,3.0,1.0,8.0,26.67,2.0,4.0,2.0,3.0,3.0,2,3.0,3.0,22.0,55.0
74301,mid,F,disloyal,25,business,eco plus,811,0,0,0,same,neutral or dissatisfied,False,4.0,2.0,5.0,5.0,1.0,5.0,22.0,73.33,2.0,4.0,1.0,1.0,1.0,5,2.0,5.0,21.0,52.5
67968,mid,F,disloyal,38,business,eco plus,1126,20,13,7,recovered,neutral or dissatisfied,False,2.0,3.0,2.0,2.0,2.0,2.0,13.0,43.33,2.0,3.0,3.0,1.0,1.0,4,4.0,1.0,19.0,47.5
7039,mid,F,disloyal,56,business,eco plus,196,1,6,-5,worsened,neutral or dissatisfied,False,2.0,5.0,2.0,2.0,2.0,2.0,15.0,50.0,2.0,4.0,4.0,2.0,2.0,4,3.0,2.0,23.0,57.5
104679,mid,M,disloyal,30,business,eco plus,641,0,0,0,same,neutral or dissatisfied,False,1.0,3.0,1.0,1.0,3.0,1.0,10.0,33.33,2.0,4.0,4.0,3.0,3.0,3,4.0,3.0,26.0,65.0
107214,mid,F,disloyal,33,business,eco plus,402,0,0,0,same,neutral or dissatisfied,False,5.0,5.0,5.0,5.0,2.0,5.0,27.0,90.0,4.0,3.0,3.0,2.0,2.0,3,3.0,2.0,22.0,55.0
67309,mid,F,disloyal,29,business,eco plus,985,22,28,-6,worsened,neutral or dissatisfied,False,1.0,3.0,1.0,1.0,3.0,1.0,10.0,33.33,4.0,3.0,1.0,3.0,3.0,4,3.0,3.0,24.0,60.0
36281,mid,F,disloyal,42,business,eco plus,212,0,0,0,same,neutral or dissatisfied,False,5.0,4.0,5.0,5.0,2.0,5.0,26.0,86.67,3.0,2.0,4.0,2.0,2.0,4,4.0,2.0,23.0,57.5
96554,mid,M,disloyal,17,business,eco plus,302,0,0,0,same,neutral or dissatisfied,False,4.0,5.0,4.0,4.0,3.0,4.0,24.0,80.0,1.0,2.0,3.0,3.0,3.0,1,3.0,,16.0,40.0
75625,mid,F,disloyal,33,business,eco plus,337,4,0,4,recovered,neutral or dissatisfied,False,2.0,5.0,2.0,2.0,3.0,2.0,16.0,53.33,1.0,3.0,4.0,3.0,3.0,3,3.0,3.0,23.0,57.5
