customer_id,customer_value,gender,customer_type,age,type_of_travel,class,flight_distance,departure_delay_in_minutes,arrival_delay_in_minutes,time_recovered_in_minutes,time_recovery_status,satisfaction,satisfaction_bool,seat_comfort,leg_room_service,food_and_drink,inflight_entertainment,inflight_wifi_service,cleanliness,products_rating_score,products_rating_percentage,on_board_service,inflight_service,checkin_service,online_boarding,ease_of_online_booking,baggage_handling,gate_location,departure_arrival_time_convenience,services_rating_score,services_rating_percentage
102068,high,M,loyal,65,personal,business,226,37,20,17,recovered,neutral or dissatisfied,False,4.0,1.0,5.0,4.0,1.0,3.0,18.0,60.0,4.0,4.0,5.0,5.0,1.0,4,1.0,4.0,28.0,70.0
11849,high,F,loyal,65,personal,business,1042,48,30,18,recovered,neutral or dissatisfied,False,4.0,4.0,3.0,4.0,4.0,5.0,24.0,80.0,4.0,4.0,5.0,5.0,4.0,2,4.0,5.0,33.0,82.5
3468,mid,F,loyal,64,personal,eco plus,213,0,6,-6,worsened,neutral or dissatisfied,False,5.0,2.0,5.0,5.0,2.0,5.0,24.0,80.0,5.0,5.0,5.0,5.0,2.0,5,1.0,,28.0,70.0
46011,mid,M,loyal,62,personal,eco plus,483,12,25,-13,worsened,neutral or dissatisfied,False,5.0,4.0,1.0,1.0,2.0,1.0,14.0,46.67,5.0,5.0,3.0,2.0,2.0,5,4.0,,26.0,65.0
95553,mid,M,loyal,62,personal,eco plus,148,31,27,4,recovered,neutral or dissatisfied,False,4.0,3.0,4.0,4.0,4.0,4.0,23.0,76.67,3.0,5.0,3.0,4.0,4.0,4,3.0,5.0,31.0,77.5
104955,high,M,loyal,69,personal,business,337,14,0,14,recovered,neutral or dissatisfied,False,3.0,3.0,5.0,1.0,3.0,3.0,18.0,60.0,1.0,1.0,2.0,2.0,3.0,1,3.0,2.0,15.0,37.5
57548,mid,F,loyal,70,personal,eco plus,413,20,20,0,same,neutral or dissatisfied,False,4.0,1.0,2.0,1.0,2.0,3.0,13.0,43.33,1.0,1.0,2.0,3.0,1.0,3,4.0,4.0,19.0,47.5
3974,mid,F,loyal,70,personal,eco plus,764,26,22,4,recovered,neutral or dissatisfied,False,5.0,3.0,2.0,1.0,3.0,3.0,17.0,56.67,1.0,1.0,3.0,5.0,3.0,1,4.0,5.0,23.0,57.5
55769,high,M,loyal,61,personal,business,646,40,21,19,recovered,neutral or dissatisfied,False,3.0,1.0,1.0,2.0,2.0,2.0,11.0,36.67,2.0,2.0,4.0,4.0,1.0,4,4.0,2.0,23.0,57.5
10023,mid,M,loyal,70,personal,eco plus,534,19,18,1,recovered,neutral or dissatisfied,False,4.0,3.0,4.0,4.0,2.0,4.0,21.0,70.0,5.0,4.0,4.0,2.0,2.0,4,2.0,4.0,27.0,67.5
37814,mid,M,loyal,61,personal,eco plus,989,16,12,4,recovered,neutral or dissatisfied,False,3.0,3.0,3.0,3.0,3.0,3.0,18.0,60.0,4.0,5.0,5.0,3.0,3.0,4,3.0,5.0,32.0,80.0
126525,mid,M,loyal,61,personal,eco plus,196,2,16,-14,worsened,neutral or dissatisfied,False,5.0,4.0,5.0,5.0,1.0,5.0,25.0,83.33,1.0,5.0,5.0,1.0,1.0,4,2.0,5.0,24.0,60.0
104614,mid,M,loyal,68,personal,eco plus,369,0,0,0,same,neutral or dissatisfied,False,2.0,3.0,2.0,2.0,1.0,2.0,12.0,40.0,2.0,3.0,2.0,4.0,4.0,3,3.0,2.0,23.0,57.5
67545,high,F,loyal,63,personal,business,1431,0,0,0,same,neutral or dissatisfied,False,3.0,3.0,4.0,5.0,3.0,3.0,21.0,70.0,5.0,5.0,2.0,3.0,3.0,5,4.0,1.0,28.0,70.0
10260,high,M,loyal,63,personal,business,316,27,16,11,recovered,neutral or dissatisfied,False,4.0,4.0,3.0,5.0,3.0,5.0,24.0,80.0,5.0,5.0,3.0,4.0,4.0,5,4.0,,30.0,75.0
18971,mid,F,loyal,66,personal,eco plus,448,17,13,4,recovered,neutral or dissatisfied,False,5.0,4.0,2.0,4.0,4.0,4.0,23.0,76.67,4.0,4.0,3.0,4.0,4.0,4,4.0,5.0,32.0,80.0
65770,mid,F,loyal,69,personal,eco plus,936,1,0,1,recovered,neutral or dissatisfied,False,4.0,3.0,4.0,3.0,3.0,5.0,22.0,73.33,3.0,3.0,3.0,5.0,3.0,3,1.0,5.0,26.0,65.0
19147,high,F,loyal,67,personal,business,304,0,0,0,same,neutral or dissatisfied,False,4.0,1.0,3.0,4.0,1.0,3.0,16.0,53.33,4.0,4.0,5.0,5.0,1.0,4,1.0,5.0,29.0,72.5
11492,mid,M,loyal,64,personal,eco plus,224,0,0,0,same,neutral or dissatisfied,False,3.0,4.0,3.0,3.0,2.0,3.0,18.0,60.0,5.0,4.0,3.0,,,4,3.0,4.0,23.0,57.5
61861,mid,F,loyal,62,personal,eco plus,1464,26,30,-4,worsened,neutral or dissatisfied,False,5.0,3.0,3.0,1.0,3.0,3.0,18.0,60.0,1.0,1.0,4.0,3.0,3.0,1,4.0,5.0,22.0,55.0
3927,mid,F,loyal,63,personal,eco plus,213,0,0,0,same,satisfied,True,4.0,,2.0,2.0,4.0,4.0,16.0,53.33,2.0,2.0,3.0,4.0,,1,3.0,2.0,17.0,42.5
8321,mid,F,loyal,70,personal,eco plus,294,0,0,0,same,neutral or dissatisfied,False,4.0,2.0,5.0,2.0,2.0,5.0,20.0,66.67,2.0,2.0,3.0,5.0,2.0,2,1.0,4.0,21.0,52.5
17210,mid,F,loyal,66,personal,eco plus,487,0,2,-2,worsened,neutral or dissatisfied,False,4.0,3.0,3.0,4.0,3.0,4.0,21.0,70.0,4.0,4.0,3.0,4.0,3.0,4,3.0,2.0,27.0,67.5
31870,high,F,loyal,63,personal,business,4983,3,0,3,recovered,satisfied,True,1.0,4.0,,3.0,,1.0,9.0,30.0,2.0,5.0,1.0,5.0,,3,2.0,5.0,23.0,57.5
106791,high,M,loyal,66,personal,business,977,29,28,1,recovered,neutral or dissatisfied,False,4.0,3.0,5.0,4.0,3.0,4.0,23.0,76.67,4.0,4.0,3.0,4.0,3.0,4,1.0,4.0,27.0,67.5
29346,mid,F,loyal,67,personal,eco plus,569,0,0,0,same,neutral or dissatisfied,False,5.0,2.0,2.0,4.0,1.0,4.0,18.0,60.0,4.0,4.0,3.0,5.0,2.0,4,4.0,5.0,31.0,77.5
72847,mid,F,loyal,69,personal,eco plus,1013,0,0,0,same,satisfied,True,5.0,4.0,5.0,1.0,5.0,3.0,23.0,76.67,1.0,1.0,5.0,5.0,5.0,1,2.0,4.0,24.0,60.0
