customer_id,customer_value,gender,customer_type,age,type_of_travel,class,flight_distance,departure_delay_in_minutes,arrival_delay_in_minutes,time_recovered_in_minutes,time_recovery_status,satisfaction,satisfaction_bool,seat_comfort,leg_room_service,food_and_drink,inflight_entertainment,inflight_wifi_service,cleanliness,products_rating_score,products_rating_percentage,on_board_service,inflight_service,checkin_service,online_boarding,ease_of_online_booking,baggage_handling,gate_location,departure_arrival_time_convenience,services_rating_score,services_rating_percentage
70172,mid,M,loyal,13,personal,eco plus,460,25,18,7,recovered,neutral or dissatisfied,False,5.0,3.0,5.0,5.0,3.0,5.0,26.0,86.67,4.0,5.0,4.0,3.0,3.0,4,1.0,4.0,28.0,70.0
51412,mid,F,loyal,12,personal,eco plus,308,0,0,0,same,neutral or dissatisfied,False,1.0,2.0,1.0,1.0,2.0,1.0,8.0,26.67,1.0,5.0,5.0,2.0,2.0,5,2.0,4.0,26.0,65.0
98628,mid,M,loyal,53,business,eco,834,28,8,20,recovered,neutral or dissatisfied,False,1.0,1.0,1.0,1.0,1.0,1.0,6.0,20.0,1.0,4.0,4.0,1.0,4.0,3,4.0,4.0,25.0,62.5
39076,mid,M,loyal,9,business,eco,1174,0,4,-4,worsened,neutral or dissatisfied,False,1.0,5.0,2.0,2.0,2.0,2.0,14.0,46.67,1.0,3.0,4.0,2.0,2.0,3,4.0,4.0,23.0,57.5
79659,mid,F,loyal,40,business,eco,349,0,1,-1,worsened,neutral or dissatisfied,False,1.0,5.0,1.0,1.0,1.0,1.0,10.0,33.33,3.0,3.0,3.0,1.0,4.0,3,4.0,4.0,25.0,62.5
48014,mid,M,loyal,40,personal,eco plus,550,23,20,3,recovered,neutral or dissatisfied,False,2.0,1.0,2.0,2.0,4.0,2.0,13.0,43.33,5.0,4.0,3.0,4.0,4.0,4,2.0,3.0,29.0,72.5
72127,mid,M,loyal,28,business,eco,731,14,8,6,recovered,neutral or dissatisfied,False,2.0,3.0,2.0,2.0,2.0,2.0,13.0,43.33,3.0,3.0,3.0,2.0,1.0,2,1.0,1.0,16.0,40.0
1050,mid,F,loyal,69,business,eco,309,0,0,0,same,satisfied,True,3.0,5.0,1.0,5.0,5.0,2.0,21.0,70.0,5.0,5.0,4.0,2.0,5.0,5,5.0,5.0,36.0,90.0
115534,mid,M,loyal,50,business,eco,308,18,12,6,recovered,neutral or dissatisfied,False,2.0,2.0,2.0,2.0,2.0,2.0,12.0,40.0,3.0,3.0,2.0,2.0,1.0,2,1.0,1.0,15.0,37.5
22031,mid,F,loyal,57,personal,eco plus,500,0,0,0,same,neutral or dissatisfied,False,5.0,3.0,3.0,5.0,3.0,5.0,24.0,80.0,5.0,5.0,4.0,4.0,3.0,5,2.0,5.0,33.0,82.5
