customer_id,customer_value,gender,customer_type,age,type_of_travel,class,flight_distance,departure_delay_in_minutes,arrival_delay_in_minutes,time_recovered_in_minutes,time_recovery_status,satisfaction,satisfaction_bool,seat_comfort,leg_room_service,food_and_drink,inflight_entertainment,inflight_wifi_service,cleanliness,products_rating_score,products_rating_percentage,on_board_service,inflight_service,checkin_service,online_boarding,ease_of_online_booking,baggage_handling,gate_location,departure_arrival_time_convenience,services_rating_score,services_rating_percentage
5047,high,M,disloyal,25,business,business,235,1,6,-5,worsened,neutral or dissatisfied,False,1.0,5.0,1.0,1.0,3.0,1.0,12.0,40.0,1.0,4.0,1.0,3.0,3.0,3,3.0,2.0,20.0,50.0
58779,high,M,disloyal,37,business,business,1182,9,0,9,recovered,neutral or dissatisfied,False,1.0,1.0,1.0,1.0,3.0,1.0,8.0,26.67,4.0,4.0,1.0,3.0,3.0,3,4.0,3.0,25.0,62.5
110293,high,F,disloyal,34,business,business,883,0,0,0,same,neutral or dissatisfied,False,2.0,4.0,5.0,5.0,3.0,5.0,24.0,80.0,5.0,5.0,4.0,4.0,4.0,5,3.0,4.0,34.0,85.0
64685,high,M,disloyal,41,business,business,354,0,0,0,same,neutral or dissatisfied,False,1.0,3.0,1.0,1.0,1.0,1.0,8.0,26.67,3.0,4.0,4.0,1.0,1.0,4,2.0,1.0,20.0,50.0
60373,high,F,disloyal,25,business,business,1452,9,23,-14,worsened,neutral or dissatisfied,False,3.0,4.0,3.0,3.0,3.0,3.0,19.0,63.33,4.0,5.0,5.0,3.0,3.0,5,4.0,5.0,34.0,85.0
114501,high,F,disloyal,38,business,business,308,39,26,13,recovered,neutral or dissatisfied,False,4.0,1.0,4.0,4.0,3.0,4.0,20.0,66.67,1.0,3.0,2.0,3.0,3.0,4,3.0,3.0,22.0,55.0
32167,high,M,disloyal,39,business,business,216,0,0,0,same,neutral or dissatisfied,False,3.0,1.0,3.0,3.0,2.0,3.0,15.0,50.0,2.0,4.0,2.0,2.0,2.0,4,3.0,2.0,21.0,52.5
112142,high,M,disloyal,39,business,business,895,0,2,-2,worsened,neutral or dissatisfied,False,5.0,4.0,5.0,5.0,2.0,5.0,26.0,86.67,5.0,5.0,5.0,2.0,2.0,4,4.0,2.0,29.0,72.5
101639,high,F,disloyal,25,business,business,1435,1,1,0,same,satisfied,True,1.0,2.0,1.0,1.0,5.0,1.0,11.0,36.67,4.0,5.0,4.0,5.0,5.0,5,4.0,1.0,33.0,82.5
92242,high,F,disloyal,41,business,business,1670,0,0,0,same,neutral or dissatisfied,False,4.0,5.0,3.0,3.0,2.0,3.0,20.0,66.67,3.0,5.0,4.0,2.0,1.0,3,2.0,1.0,21.0,52.5
121358,high,F,disloyal,44,business,business,1670,0,8,-8,worsened,neutral or dissatisfied,False,5.0,2.0,5.0,5.0,3.0,5.0,25.0,83.33,3.0,4.0,2.0,3.0,3.0,4,4.0,3.0,26.0,65.0
